t=2026-05-13T12:07:02+0700 lvl=info msg="no configuration paths supplied"
t=2026-05-13T12:07:02+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-13T12:07:02+0700 lvl=info msg="open config file" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-13T12:07:02+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-13T12:07:02+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-13T12:07:03+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-13T12:07:03+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-13T12:21:05+0700 lvl=info msg="join connections" obj=join id=706f93dbc29b l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:21:05+0700 lvl=info msg="join connections" obj=join id=9b9cdac446da l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:21:11+0700 lvl=info msg="join connections" obj=join id=e1bf036826b9 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:21:12+0700 lvl=info msg="join connections" obj=join id=3208b487cdac l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:21:12+0700 lvl=info msg="join connections" obj=join id=3adf17bad544 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:21:32+0700 lvl=info msg="join connections" obj=join id=325207c4a1ac l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:21:52+0700 lvl=info msg="join connections" obj=join id=e9d228903a70 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:22:12+0700 lvl=info msg="join connections" obj=join id=e5ec575be044 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:22:32+0700 lvl=info msg="join connections" obj=join id=fa0efba9ef3e l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:23:28+0700 lvl=info msg="join connections" obj=join id=bd2379d82c3c l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:23:33+0700 lvl=info msg="join connections" obj=join id=661639bad95d l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:24:41+0700 lvl=info msg="join connections" obj=join id=12d0170d8b28 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:24:41+0700 lvl=info msg="join connections" obj=join id=9964af3fb393 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:24:45+0700 lvl=info msg="join connections" obj=join id=c69c62875d80 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:25:00+0700 lvl=info msg="join connections" obj=join id=680c173cef37 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:25:00+0700 lvl=info msg="join connections" obj=join id=0edde766abff l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:25:03+0700 lvl=info msg="join connections" obj=join id=579c7a41ba19 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:25:03+0700 lvl=info msg="join connections" obj=join id=1f6b8f29ead2 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:25:07+0700 lvl=info msg="join connections" obj=join id=0ad6191ca768 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:25:09+0700 lvl=info msg="join connections" obj=join id=7c6c7bc0a9ea l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:25:09+0700 lvl=info msg="join connections" obj=join id=77ea9d399a43 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:25:14+0700 lvl=info msg="join connections" obj=join id=c805558d2fc1 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:25:23+0700 lvl=info msg="join connections" obj=join id=1beac3d9cd1e l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:25:27+0700 lvl=info msg="join connections" obj=join id=fe181b85bb9f l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:25:31+0700 lvl=info msg="join connections" obj=join id=2ca2232ba039 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:25:48+0700 lvl=info msg="join connections" obj=join id=7b7328f7ef23 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:25:49+0700 lvl=info msg="join connections" obj=join id=7e8a6069dcbc l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:25:49+0700 lvl=info msg="join connections" obj=join id=51fe7602c54d l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:25:57+0700 lvl=info msg="join connections" obj=join id=cb6a4e2fb515 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:26:01+0700 lvl=info msg="join connections" obj=join id=83bcb20df7ac l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:26:08+0700 lvl=info msg="join connections" obj=join id=f949d59c3f3c l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:26:11+0700 lvl=info msg="join connections" obj=join id=612ad22ef6e2 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:26:21+0700 lvl=info msg="join connections" obj=join id=3a4835228c5a l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:26:28+0700 lvl=info msg="join connections" obj=join id=1184e2e8838a l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:26:44+0700 lvl=info msg="join connections" obj=join id=837052aebb3f l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:27:07+0700 lvl=info msg="join connections" obj=join id=20e82604da1c l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:27:09+0700 lvl=info msg="join connections" obj=join id=51ea63e08f48 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:27:32+0700 lvl=info msg="join connections" obj=join id=d19412a49b79 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:27:32+0700 lvl=info msg="join connections" obj=join id=30e934e5fd96 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:27:41+0700 lvl=info msg="join connections" obj=join id=54cf3966d1f7 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:27:42+0700 lvl=info msg="join connections" obj=join id=88aca86613d4 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:27:52+0700 lvl=info msg="join connections" obj=join id=6c03638b212f l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:28:12+0700 lvl=info msg="join connections" obj=join id=e5f1f8f21908 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:28:13+0700 lvl=info msg="join connections" obj=join id=24efcbb6f209 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:28:18+0700 lvl=info msg="join connections" obj=join id=78252616590d l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:28:53+0700 lvl=info msg="join connections" obj=join id=cad2ce3529f5 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:29:13+0700 lvl=info msg="join connections" obj=join id=63a9286b1259 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:29:33+0700 lvl=info msg="join connections" obj=join id=b226135b5d9c l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:29:53+0700 lvl=info msg="join connections" obj=join id=31f34cd13853 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:30:44+0700 lvl=info msg="join connections" obj=join id=997879e9388a l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:31:44+0700 lvl=info msg="join connections" obj=join id=411755258302 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:31:53+0700 lvl=info msg="join connections" obj=join id=d85523f9222b l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:32:13+0700 lvl=info msg="join connections" obj=join id=caa0709318e6 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:32:33+0700 lvl=info msg="join connections" obj=join id=3da3e90e2d8d l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:33:34+0700 lvl=info msg="join connections" obj=join id=a3d74fde769a l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:34:35+0700 lvl=info msg="join connections" obj=join id=dd0dbe3db04f l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:35:36+0700 lvl=info msg="join connections" obj=join id=2aa5eae4fbae l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:36:37+0700 lvl=info msg="join connections" obj=join id=dd1db8777e26 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:37:38+0700 lvl=info msg="join connections" obj=join id=7060fd74ab54 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:38:39+0700 lvl=info msg="join connections" obj=join id=49b8cd31c756 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:38:53+0700 lvl=info msg="join connections" obj=join id=5b34e848084f l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:39:13+0700 lvl=info msg="join connections" obj=join id=f50aa31b6227 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:39:33+0700 lvl=info msg="join connections" obj=join id=96a10b505136 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:40:34+0700 lvl=info msg="join connections" obj=join id=1ef3c00d4c5a l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:41:18+0700 lvl=info msg="join connections" obj=join id=f7a847241efc l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:41:27+0700 lvl=info msg="join connections" obj=join id=bca97fa2f1f0 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:41:28+0700 lvl=info msg="join connections" obj=join id=30b8d0bd016e l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:41:40+0700 lvl=info msg="join connections" obj=join id=b87cb4d3e0b2 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:41:41+0700 lvl=info msg="join connections" obj=join id=284c405241cb l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:41:52+0700 lvl=info msg="join connections" obj=join id=d8c6512c19f4 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:41:52+0700 lvl=info msg="join connections" obj=join id=c46ff958eeb4 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:41:52+0700 lvl=info msg="join connections" obj=join id=5b396848546c l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:41:54+0700 lvl=info msg="join connections" obj=join id=ff0e72c5022e l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:42:07+0700 lvl=info msg="join connections" obj=join id=a9f3ee518bad l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:42:13+0700 lvl=info msg="join connections" obj=join id=e5160498d68b l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:42:13+0700 lvl=info msg="join connections" obj=join id=5c866af0575b l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:42:33+0700 lvl=info msg="join connections" obj=join id=2b592dd05561 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:42:33+0700 lvl=info msg="join connections" obj=join id=fbb6d4596e2b l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:42:43+0700 lvl=info msg="join connections" obj=join id=6ccd6c250543 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T15:04:04+0700 lvl=info msg="join connections" obj=join id=408e409edb7f l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T15:04:04+0700 lvl=info msg="join connections" obj=join id=788a89ab5e1b l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T15:04:04+0700 lvl=info msg="join connections" obj=join id=90f0a3edfd82 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T15:04:04+0700 lvl=info msg="join connections" obj=join id=a9a42e3ad1dc l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T15:04:14+0700 lvl=info msg="join connections" obj=join id=2596d7b4aca4 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T15:04:15+0700 lvl=info msg="join connections" obj=join id=fa5546002981 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T15:04:44+0700 lvl=info msg="join connections" obj=join id=239af0b01059 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T15:05:04+0700 lvl=info msg="join connections" obj=join id=3fe744c1a83d l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T15:05:24+0700 lvl=info msg="join connections" obj=join id=4eb30af0eaca l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T15:05:44+0700 lvl=info msg="join connections" obj=join id=9f50344a6afe l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
